voxel_index,fiber_index,true_n_fibers,est_n_fibers,true_theta,true_phi,true_v,est_theta_matched,est_phi_matched,est_v_matched,acc,true_angular_separation,est_angular_separation,vol_frac,method,experiment
44,0.0,2.0,2.0,1.4810169,1.5727144,0.5,1.4810141547818363,1.5725851264570043,0.4997273612697719,0.9999998838209556,1.570796440926964,1.570526610670409,0.5,fod2fixel,angle
44,1.0,2.0,2.0,1.5921007,3.1415927,0.5,1.5498447174516785,0.000173237517559,0.5002726387302281,0.9999989189359642,1.570796440926964,1.570526610670409,0.5,fod2fixel,angle
45,0.0,2.0,2.0,1.8083715,1.3807592,0.5,1.8084922012735336,1.3807054018855025,0.4999972010827953,0.9999998789277118,1.5707964767341163,1.570811318813954,0.5,fod2fixel,angle
45,1.0,2.0,2.0,2.233273,3.1415927,0.5,0.9082669566438328,4.854825804759304e-05,0.5000027989172047,0.9999999703632568,1.5707964767341163,1.570811318813954,0.5,fod2fixel,angle
46,0.0,2.0,2.0,0.5095129,4.2590423,0.5,0.5093683257137619,-2.024316165097177,0.4998866846243372,0.999999803787298,1.5707962665222628,1.5708804297308474,0.5,fod2fixel,angle
46,1.0,2.0,2.0,1.8107862,3.1415927,0.5,1.3308245661674662,0.0001515152818634,0.5001133153756627,0.9999998462467348,1.5707962665222628,1.5708804297308474,0.5,fod2fixel,angle
47,0.0,2.0,2.0,0.27159747,4.5512533,0.5,0.2718493387173269,-1.7314936251981512,0.499820144452141,0.9999994590562368,1.5707963542714571,1.5707793775840726,0.5,fod2fixel,angle
47,1.0,2.0,2.0,1.6154456,3.1415927,0.5,1.5261150859959864,0.0003326666474148,0.5001798555478589,0.9999992201339324,1.5707963542714571,1.5707793775840726,0.5,fod2fixel,angle
48,0.0,2.0,2.0,1.2587395,0.20057842,0.5,1.2590462858133138,0.2005930572072216,0.5000701691913402,0.9999993396964444,1.57079637845441,1.5711443159318033,0.5,fod2fixel,angle
48,1.0,2.0,2.0,0.3180231,3.1415927,0.5,0.3180518948154606,-3.141350609203241,0.4999298308086597,0.9999999541184263,1.57079637845441,1.5711443159318033,0.5,fod2fixel,angle
49,0.0,2.0,2.0,1.7937324,2.8079517,0.5,1.3477755583883415,-0.3334945221340623,0.4999404454580171,0.99999980701533,1.570796278191428,1.5708775048496815,0.5,fod2fixel,angle
49,1.0,2.0,2.0,0.23548384,3.1415927,0.5,0.2356388949018653,3.1414890147431267,0.5000595545419828,0.9999998276037056,1.570796278191428,1.5708775048496815,0.5,fod2fixel,angle
50,0.0,2.0,2.0,2.3851058,3.0340152,0.5,0.7563053898992896,-0.1074726582249998,0.4998326496940914,0.9999997333955412,1.5707962420489263,1.5711466096957736,0.5,fod2fixel,angle
50,1.0,2.0,2.0,0.81720304,3.1415927,0.5,2.3245612907349336,7.22723764749943e-05,0.5001673503059085,0.9999997742834624,1.5707962420489263,1.5711466096957736,0.5,fod2fixel,angle
51,0.0,2.0,2.0,2.0722435,5.6978154,0.5,1.0693939676361832,2.5563518007592165,0.4998430179832128,0.999999896349002,1.5707962476195816,1.5709578105391768,0.5,fod2fixel,angle
